Date,Site,Process,Equipment_ID,Output_m3,Process_Cost_PHP,Labor_Cost_PHP,Fuel_Liters
2025-01-03,PAMPANGA,Drilling,Pam-DR-1,660,17160,0,50
2025-01-03,PAMPANGA,Blasting,BLAST,559,41925,0,36
2025-01-03,PAMPANGA,Extraction,Pam-EX-E1,201,0,1400,100
2025-01-03,PAMPANGA,Stockpiling,Pam-EX-S1,559,0,1400,106
2025-01-03,TARLAC,Loading,Tar-EX-L1,582,0,1400,74
2025-01-03,TARLAC,Drilling,Tar-DR-1,655,17030,0,46
2025-01-03,TARLAC,Extraction,Tar-EX-E1,308,0,1400,92
2025-01-03,TARLAC,Stockpiling,Tar-EX-S1,582,0,1400,50
2025-01-04,ZAMBALES,Loading,Zam-EX-L1,576,0,1400,116
2025-01-04,ZAMBALES,Loading,Zam-EX-L2,397,0,1400,66
2025-01-04,ZAMBALES,Drilling,Zam-DR-1,834,21684,0,64
2025-01-04,ZAMBALES,Blasting,BLAST,973,72975,0,40
2025-01-04,ZAMBALES,Extraction,Zam-EX-E1,561,0,1400,120
2025-01-04,ZAMBALES,Extraction,Zam-EX-E2,327,0,1400,117
2025-01-04,ZAMBALES,Stockpiling,Zam-EX-S1,973,0,1400,88
2025-01-04,rizal,Loading,Riz-EX-L1,428,0,1400,75
2025-01-04,rizal,Loading,Riz-EX-L2,352,0,1400,87
2025-01-04,rizal,Drilling,Riz-DR-1,568,14768,0,62
2025-01-04,rizal,Blasting,BLAST,780,58500,0,31
2025-01-04,rizal,Extraction,Riz-EX-E1,250,0,1400,98
2025-01-04,rizal,Extraction,Riz-EX-E2,461,0,1400,114
2025-01-04,rizal,Stockpiling,Riz-EX-S1,780,0,1400,88
2025-01-04,bULACAN,Loading,Bul-EX-L1,545,0,1400,93
2025-01-04,bULACAN,Drilling,Bul-DR-1,799,20774,0,50
2025-01-04,bULACAN,Extraction,Bul-EX-E1,532,0,1400,111
2025-01-04,bULACAN,Stockpiling,Bul-EX-S1,545,0,1400,69
2025-01-04,pampanga,Loading,Pam-EX-L1,586,0,1400,112
2025-01-04,pampanga,Drilling,Pam-DR-1,778,20228,0,65
2025-01-04,pampanga,Extraction,Pam-EX-E1,234,0,1400,89
2025-01-04,pampanga,Stockpiling,Pam-EX-S1,586,0,1400,72
2025-01-04,Tarlac,Loading,Tar-EX-L1,261,0,1400,108
2025-01-04,Tarlac,Drilling,Tar-DR-1,779,20254,0,41
2025-01-04,Tarlac,Extraction,Tar-EX-E1,415,0,1400,80
2025-01-04,Tarlac,Stockpiling,Tar-EX-S1,261,0,1400,96
2025-01-05,zAMBALES,Loading,Zam-EX-L1,374,0,1400,74
2025-01-05,zAMBALES,Loading,Zam-EX-L2,376,0,1400,93
2025-01-05,zAMBALES,Drilling,Zam-DR-1,743,19318,0,58
2025-01-05,zAMBALES,Extraction,Zam-EX-E1,234,0,1400,138
2025-01-05,zAMBALES,Extraction,Zam-EX-E2,385,0,1400,96
2025-01-05,zAMBALES,Stockpiling,Zam-EX-S1,750,0,1400,61
2025-01-05,Rizal,Loading,Riz-EX-L1,596,0,1400,85
2025-01-05,Rizal,Loading,Riz-EX-L2,217,0,1400,102
2025-01-05,Rizal,Drilling,Riz-DR-1,482,12532,0,43
2025-01-05,Rizal,Extraction,Riz-EX-E1,289,0,1400,133
2025-01-05,Rizal,Extraction,Riz-EX-E2,581,0,1400,76
2025-01-05,Rizal,Stockpiling,Riz-EX-S1,813,0,1400,109
2025-01-05,Bulacan,Loading,Bul-EX-L1,287,0,1400,66
2025-01-05,Bulacan,Drilling,Bul-DR-1,760,19760,0,32
2025-01-05,Bulacan,Blasting,BLAST,287,21525,0,39
2025-01-05,Bulacan,Extraction,Bul-EX-E1,361,0,1400,78
2025-01-05,Bulacan,Stockpiling,Bul-EX-S1,287,0,1400,57
2025-01-05,pAMPANGA,Loading,Pam-EX-L1,488,0,1400,69
2025-01-05,pAMPANGA,Drilling,Pam-DR-1,406,10556,0,42
2025-01-05,pAMPANGA,Extraction,Pam-EX-E1,237,0,1400,114
2025-01-05,pAMPANGA,Stockpiling,Pam-EX-S1,488,0,1400,80
2025-01-05,tARLAC,Loading,Tar-EX-L1,425,0,1400,118
2025-01-05,tARLAC,Drilling,Tar-DR-1,526,13676,0,48
2025-01-05,tARLAC,Extraction,Tar-EX-E1,565,0,1400,125
2025-01-05,tARLAC,Stockpiling,Tar-EX-S1,425,0,1400,81
2025-01-06,Zambales,Loading,Zam-EX-L1,487,0,1400,90
2025-01-06,Zambales,Loading,Zam-EX-L2,479,0,1400,85
2025-01-06,Zambales,Drilling,Zam-DR-1,652,16952,0,47
2025-01-06,Zambales,Extraction,Zam-EX-E1,265,0,1400,92
2025-01-06,Zambales,Extraction,Zam-EX-E2,380,0,1400,72
2025-01-06,Zambales,Stockpiling,Zam-EX-S1,966,0,1400,83
2025-01-06,Rizal,Loading,Riz-EX-L1,586,0,1400,66
2025-01-06,Rizal,Loading,Riz-EX-L2,574,0,1400,71
2025-01-06,Rizal,Drilling,Riz-DR-1,825,21450,0,67
2025-01-06,Rizal,Extraction,Riz-EX-E1,594,0,1400,99
2025-01-06,Rizal,Extraction,Riz-EX-E2,332,0,1400,121
2025-01-06,Rizal,Stockpiling,Riz-EX-S1,1160,0,1400,77
2025-01-06,bulacan,Loading,Bul-EX-L1,472,0,1400,80
2025-01-06,bulacan,Drilling,Bul-DR-1,457,11882,0,59
2025-01-06,bulacan,Blasting,BLAST,472,35400,0,49
2025-01-06,bulacan,Extraction,Bul-EX-E1,507,0,1400,94
2025-01-06,bulacan,Stockpiling,Bul-EX-S1,472,0,1400,65
2025-01-06,Pampanga,Loading,Pam-EX-L1,567,0,1400,79
2025-01-06,Pampanga,Drilling,Pam-DR-1,541,14066,0,37
2025-01-06,Pampanga,Extraction,Pam-EX-E1,254,0,1400,104
2025-01-06,Pampanga,Stockpiling,Pam-EX-S1,567,0,1400,94
2025-01-06,tARLAC,Loading,Tar-EX-L1,474,0,1400,94
2025-01-06,tARLAC,Drilling,Tar-DR-1,629,16354,0,52
2025-01-06,tARLAC,Extraction,Tar-EX-E1,478,0,1400,73
2025-01-06,tARLAC,Stockpiling,Tar-EX-S1,474,0,1400,78
2025-01-07,ZAMBALES,Loading,Zam-EX-L1,555,0,1400,66
2025-01-07,ZAMBALES,Loading,Zam-EX-L2,391,0,1400,102
2025-01-07,ZAMBALES,Drilling,Zam-DR-1,856,22256,0,66
2025-01-07,ZAMBALES,Blasting,BLAST,946,70950,0,26
2025-01-07,ZAMBALES,Extraction,Zam-EX-E1,255,0,1400,125
2025-01-07,ZAMBALES,Extraction,Zam-EX-E2,469,0,1400,124
2025-01-07,ZAMBALES,Stockpiling,Zam-EX-S1,946,0,1400,72
2025-01-07,rIZAL,Loading,Riz-EX-L1,477,0,1400,60
2025-01-07,rIZAL,Loading,Riz-EX-L2,484,0,1400,107
2025-01-07,rIZAL,Drilling,Riz-DR-1,557,14482,0,69
2025-01-07,rIZAL,Blasting,BLAST,961,72075,0,29
2025-01-07,rIZAL,Extraction,Riz-EX-E1,391,0,1400,129
2025-01-07,rIZAL,Extraction,Riz-EX-E2,322,0,1400,119
2025-01-07,rIZAL,Stockpiling,Riz-EX-S1,961,0,1400,85
2025-01-07,Bulacan,Loading,Bul-EX-L1,268,0,1400,112
2025-01-07,Bulacan,Drilling,Bul-DR-1,790,20540,0,39
2025-01-07,Bulacan,Extraction,Bul-EX-E1,578,0,1400,104
2025-01-07,Bulacan,Stockpiling,Bul-EX-S1,268,0,1400,89
2025-01-07,PAMPANGA,Loading,Pam-EX-L1,583,0,1400,64
2025-01-07,PAMPANGA,Drilling,Pam-DR-1,785,20410,0,56
2025-01-07,PAMPANGA,Extraction,Pam-EX-E1,300,0,1400,105
2025-01-07,PAMPANGA,Stockpiling,Pam-EX-S1,583,0,1400,101
2025-01-07,tARLAC,Loading,Tar-EX-L1,578,0,1400,111
2025-01-07,tARLAC,Drilling,Tar-DR-1,568,14768,0,40
2025-01-07,tARLAC,Extraction,Tar-EX-E1,461,0,1400,114
2025-01-07,tARLAC,Stockpiling,Tar-EX-S1,578,0,1400,91
2025-01-08,Zambales,Loading,Zam-EX-L1,363,0,1400,109
2025-01-08,Zambales,Loading,Zam-EX-L2,217,0,1400,75
2025-01-08,Zambales,Drilling,Zam-DR-1,731,19006,0,66
2025-01-08,Zambales,Extraction,Zam-EX-E1,523,0,1400,114
2025-01-08,Zambales,Extraction,Zam-EX-E2,576,0,1400,91
2025-01-08,Zambales,Stockpiling,Zam-EX-S1,580,0,1400,57
2025-01-08,rIZAL,Loading,Riz-EX-L1,384,0,1400,116
2025-01-08,rIZAL,Loading,Riz-EX-L2,331,0,1400,62
2025-01-08,rIZAL,Drilling,Riz-DR-1,677,17602,0,46
2025-01-08,rIZAL,Extraction,Riz-EX-E1,523,0,1400,75
2025-01-08,rIZAL,Extraction,Riz-EX-E2,383,0,1400,87
2025-01-08,rIZAL,Stockpiling,Riz-EX-S1,715,0,1400,53
2025-01-08,Bulacan,Loading,Bul-EX-L1,342,0,1400,62
2025-01-08,Bulacan,Drilling,Bul-DR-1,668,17368,0,58
2025-01-08,Bulacan,Extraction,Bul-EX-E1,429,0,1400,122
2025-01-08,Bulacan,Stockpiling,Bul-EX-S1,342,0,1400,84
2025-01-08,PAMPANGA,Loading,Pam-EX-L1,277,0,1400,106
2025-01-08,PAMPANGA,Drilling,Pam-DR-1,520,13520,0,33
2025-01-08,PAMPANGA,Extraction,Pam-EX-E1,509,0,1400,86
2025-01-08,PAMPANGA,Stockpiling,Pam-EX-S1,277,0,1400,64
2025-01-08,Tarlac,Loading,Tar-EX-L1,298,0,1400,109
2025-01-08,Tarlac,Drilling,Tar-DR-1,508,13208,0,41
2025-01-08,Tarlac,Extraction,Tar-EX-E1,320,0,1400,138
2025-01-08,Tarlac,Stockpiling,Tar-EX-S1,298,0,1400,109
2025-01-09,ZAMBALES,Loading,Zam-EX-L1,523,0,1400,90
2025-01-09,ZAMBALES,Loading,Zam-EX-L2,589,0,1400,60
2025-01-09,ZAMBALES,Drilling,Zam-DR-1,470,12220,0,30
2025-01-09,ZAMBALES,Extraction,Zam-EX-E1,543,0,1400,129
2025-01-09,ZAMBALES,Extraction,Zam-EX-E2,482,0,1400,125
2025-01-09,ZAMBALES,Stockpiling,Zam-EX-S1,1112,0,1400,82
2025-01-09,rIZAL,Loading,Riz-EX-L1,261,0,1400,72
2025-01-09,rIZAL,Loading,Riz-EX-L2,555,0,1400,116
2025-01-09,rIZAL,Drilling,Riz-DR-1,635,16510,0,41
2025-01-09,rIZAL,Extraction,Riz-EX-E1,357,0,1400,78
2025-01-09,rIZAL,Extraction,Riz-EX-E2,269,0,1400,105
2025-01-09,rIZAL,Stockpiling,Riz-EX-S1,816,0,1400,107
2025-01-09,bulacan,Loading,Bul-EX-L1,202,0,1400,89
2025-01-09,bulacan,Drilling,Bul-DR-1,405,10530,0,30
2025-01-09,bulacan,Blasting,BLAST,202,15150,0,24
2025-01-09,bulacan,Extraction,Bul-EX-E1,528,0,1400,81
2025-01-09,bulacan,Stockpiling,Bul-EX-S1,202,0,1400,54
2025-01-09,pampanga,Loading,Pam-EX-L1,376,0,1400,96
2025-01-09,pampanga,Drilling,Pam-DR-1,580,15080,0,62
2025-01-09,pampanga,Extraction,Pam-EX-E1,245,0,1400,136
2025-01-09,pampanga,Stockpiling,Pam-EX-S1,376,0,1400,102
2025-01-09,Tarlac,Loading,Tar-EX-L1,488,0,1400,63
2025-01-09,Tarlac,Drilling,Tar-DR-1,740,19240,0,46
2025-01-09,Tarlac,Extraction,Tar-EX-E1,495,0,1400,131
2025-01-09,Tarlac,Stockpiling,Tar-EX-S1,488,0,1400,53
2025-01-10,zAMBALES,Loading,Zam-EX-L1,552,0,1400,99
2025-01-10,zAMBALES,Loading,Zam-EX-L2,552,0,1400,68
2025-01-10,zAMBALES,Drilling,Zam-DR-1,578,15028,0,47
2025-01-10,zAMBALES,Extraction,Zam-EX-E1,437,0,1400,90
2025-01-10,zAMBALES,Extraction,Zam-EX-E2,454,0,1400,112
2025-01-10,zAMBALES,Stockpiling,Zam-EX-S1,1104,0,1400,63
2025-01-10,rIZAL,Loading,Riz-EX-L1,583,0,1400,80
2025-01-10,rIZAL,Loading,Riz-EX-L2,490,0,1400,64
2025-01-10,rIZAL,Drilling,Riz-DR-1,791,20566,0,49
2025-01-10,rIZAL,Blasting,BLAST,1073,80475,0,37
2025-01-10,rIZAL,Extraction,Riz-EX-E1,536,0,1400,92
2025-01-10,rIZAL,Extraction,Riz-EX-E2,276,0,1400,119
2025-01-10,rIZAL,Stockpiling,Riz-EX-S1,1073,0,1400,54
2025-01-10,Bulacan,Loading,Bul-EX-L1,594,0,1400,101
2025-01-10,Bulacan,Drilling,Bul-DR-1,417,10842,0,63
2025-01-10,Bulacan,Extraction,Bul-EX-E1,474,0,1400,121
2025-01-10,Bulacan,Stockpiling,Bul-EX-S1,594,0,1400,102
2025-01-10,Pampanga,Loading,Pam-EX-L1,286,0,1400,78
2025-01-10,Pampanga,Drilling,Pam-DR-1,790,20540,0,46
2025-01-10,Pampanga,Extraction,Pam-EX-E1,368,0,1400,81
2025-01-10,Pampanga,Stockpiling,Pam-EX-S1,286,0,1400,66
2025-01-10,TARLAC,Loading,Tar-EX-L1,551,0,1400,73
2025-01-10,TARLAC,Drilling,Tar-DR-1,511,13286,0,54
2025-01-10,TARLAC,Extraction,Tar-EX-E1,413,0,1400,85
2025-01-10,TARLAC,Stockpiling,Tar-EX-S1,551,0,1400,53
2025-01-11,Zambales,Loading,Zam-EX-L1,483,0,1400,78
2025-01-11,Zambales,Loading,Zam-EX-L2,569,0,1400,107
2025-01-11,Zambales,Drilling,Zam-DR-1,770,20020,0,52
2025-01-11,Zambales,Extraction,Zam-EX-E1,439,0,1400,113
2025-01-11,Zambales,Extraction,Zam-EX-E2,470,0,1400,123
2025-01-11,Zambales,Stockpiling,Zam-EX-S1,1052,0,1400,61
2025-01-11,rizal,Loading,Riz-EX-L1,238,0,1400,112
2025-01-11,rizal,Loading,Riz-EX-L2,414,0,1400,100
2025-01-11,rizal,Drilling,Riz-DR-1,522,13572,0,69
2025-01-11,rizal,Blasting,BLAST,652,48900,0,34
2025-01-11,rizal,Extraction,Riz-EX-E1,248,0,1400,130
2025-01-11,rizal,Extraction,Riz-EX-E2,269,0,1400,91
2025-01-11,rizal,Stockpiling,Riz-EX-S1,652,0,1400,80
2025-01-11,Bulacan,Loading,Bul-EX-L1,552,0,1400,118
2025-01-11,Bulacan,Drilling,Bul-DR-1,784,20384,0,44
2025-01-11,Bulacan,Extraction,Bul-EX-E1,390,0,1400,99
2025-01-11,Bulacan,Stockpiling,Bul-EX-S1,552,0,1400,93
2025-01-11,pAMPANGA,Loading,Pam-EX-L1,508,0,1400,60
2025-01-11,pAMPANGA,Drilling,Pam-DR-1,538,13988,0,64
2025-01-11,pAMPANGA,Extraction,Pam-EX-E1,348,0,1400,93
2025-01-11,pAMPANGA,Stockpiling,Pam-EX-S1,508,0,1400,81
2025-01-11,tARLAC,Loading,Tar-EX-L1,319,0,1400,92
2025-01-11,tARLAC,Drilling,Tar-DR-1,742,19292,0,65
2025-01-11,tARLAC,Extraction,Tar-EX-E1,234,0,1400,119
2025-01-11,tARLAC,Stockpiling,Tar-EX-S1,319,0,1400,59
2025-01-12,ZAMBALES,Loading,Zam-EX-L1,453,0,1400,79
2025-01-12,ZAMBALES,Loading,Zam-EX-L2,464,0,1400,84
2025-01-12,ZAMBALES,Drilling,Zam-DR-1,547,14222,0,66
2025-01-12,ZAMBALES,Blasting,BLAST,917,68775,0,42
2025-01-12,ZAMBALES,Extraction,Zam-EX-E1,584,0,1400,79
2025-01-12,ZAMBALES,Extraction,Zam-EX-E2,360,0,1400,109
2025-01-12,ZAMBALES,Stockpiling,Zam-EX-S1,917,0,1400,74
2025-01-12,rizal,Loading,Riz-EX-L1,454,0,1400,68
2025-01-12,rizal,Loading,Riz-EX-L2,444,0,1400,83
2025-01-12,rizal,Drilling,Riz-DR-1,734,19084,0,69
2025-01-12,rizal,Extraction,Riz-EX-E1,279,0,1400,91
2025-01-12,rizal,Extraction,Riz-EX-E2,235,0,1400,132
2025-01-12,rizal,Stockpiling,Riz-EX-S1,898,0,1400,64
2025-01-12,Bulacan,Loading,Bul-EX-L1,453,0,1400,102
2025-01-12,Bulacan,Drilling,Bul-DR-1,453,11778,0,62
2025-01-12,Bulacan,Extraction,Bul-EX-E1,424,0,1400,95
2025-01-12,Bulacan,Stockpiling,Bul-EX-S1,453,0,1400,92
2025-01-12,Pampanga,Loading,Pam-EX-L1,360,0,1400,90
2025-01-12,Pampanga,Drilling,Pam-DR-1,519,13494,0,50
2025-01-12,Pampanga,Blasting,BLAST,360,27000,0,46
2025-01-12,Pampanga,Extraction,Pam-EX-E1,538,0,1400,89
2025-01-12,Pampanga,Stockpiling,Pam-EX-S1,360,0,1400,81
2025-01-12,tarlac,Loading,Tar-EX-L1,461,0,1400,65
2025-01-12,tarlac,Drilling,Tar-DR-1,728,18928,0,41
2025-01-12,tarlac,Extraction,Tar-EX-E1,465,0,1400,137
2025-01-12,tarlac,Stockpiling,Tar-EX-S1,461,0,1400,108
2025-01-13,ZAMBALES,Loading,Zam-EX-L1,333,0,1400,66
2025-01-13,ZAMBALES,Loading,Zam-EX-L2,499,0,1400,92
2025-01-13,ZAMBALES,Drilling,Zam-DR-1,618,16068,0,38
2025-01-13,ZAMBALES,Extraction,Zam-EX-E1,521,0,1400,98
2025-01-13,ZAMBALES,Extraction,Zam-EX-E2,519,0,1400,134
2025-01-13,ZAMBALES,Stockpiling,Zam-EX-S1,832,0,1400,70
2025-01-13,rIZAL,Loading,Riz-EX-L1,207,0,1400,62
2025-01-13,rIZAL,Loading,Riz-EX-L2,298,0,1400,118
2025-01-13,rIZAL,Drilling,Riz-DR-1,850,22100,0,50
2025-01-13,rIZAL,Extraction,Riz-EX-E1,596,0,1400,105
2025-01-13,rIZAL,Extraction,Riz-EX-E2,356,0,1400,76
2025-01-13,rIZAL,Stockpiling,Riz-EX-S1,505,0,1400,63
2025-01-13,bULACAN,Loading,Bul-EX-L1,316,0,1400,62
2025-01-13,bULACAN,Drilling,Bul-DR-1,831,21606,0,31
2025-01-13,bULACAN,Blasting,BLAST,316,23700,0,29
2025-01-13,bULACAN,Extraction,Bul-EX-E1,498,0,1400,77
2025-01-13,bULACAN,Stockpiling,Bul-EX-S1,316,0,1400,70
2025-01-13,pampanga,Loading,Pam-EX-L1,239,0,1400,105
2025-01-13,pampanga,Drilling,Pam-DR-1,806,20956,0,55
2025-01-13,pampanga,Extraction,Pam-EX-E1,526,0,1400,108
2025-01-13,pampanga,Stockpiling,Pam-EX-S1,239,0,1400,83
2025-01-13,tarlac,Loading,Tar-EX-L1,231,0,1400,89
2025-01-13,tarlac,Drilling,Tar-DR-1,851,22126,0,37
2025-01-13,tarlac,Blasting,BLAST,231,17325,0,34
2025-01-13,tarlac,Extraction,Tar-EX-E1,205,0,1400,123
2025-01-13,tarlac,Stockpiling,Tar-EX-S1,231,0,1400,59
2025-01-14,Zambales,Loading,Zam-EX-L1,571,0,1400,69
2025-01-14,Zambales,Loading,Zam-EX-L2,379,0,1400,96
2025-01-14,Zambales,Drilling,Zam-DR-1,813,21138,0,31
2025-01-14,Zambales,Extraction,Zam-EX-E1,597,0,1400,103
2025-01-14,Zambales,Extraction,Zam-EX-E2,567,0,1400,113
2025-01-14,Zambales,Stockpiling,Zam-EX-S1,950,0,1400,90
2025-01-14,Rizal,Loading,Riz-EX-L1,376,0,1400,115
2025-01-14,Rizal,Loading,Riz-EX-L2,459,0,1400,81
2025-01-14,Rizal,Drilling,Riz-DR-1,540,14040,0,33
2025-01-14,Rizal,Extraction,Riz-EX-E1,419,0,1400,104
2025-01-14,Rizal,Extraction,Riz-EX-E2,539,0,1400,117
2025-01-14,Rizal,Stockpiling,Riz-EX-S1,835,0,1400,101
2025-01-14,bULACAN,Loading,Bul-EX-L1,270,0,1400,63
2025-01-14,bULACAN,Drilling,Bul-DR-1,500,13000,0,59
2025-01-14,bULACAN,Blasting,BLAST,270,20250,0,47
2025-01-14,bULACAN,Extraction,Bul-EX-E1,556,0,1400,127
2025-01-14,bULACAN,Stockpiling,Bul-EX-S1,270,0,1400,62
2025-01-14,Pampanga,Loading,Pam-EX-L1,433,0,1400,60
2025-01-14,Pampanga,Drilling,Pam-DR-1,584,15184,0,40
2025-01-14,Pampanga,Extraction,Pam-EX-E1,341,0,1400,122
2025-01-14,Pampanga,Stockpiling,Pam-EX-S1,433,0,1400,56
2025-01-14,Tarlac,Loading,Tar-EX-L1,446,0,1400,71
2025-01-14,Tarlac,Drilling,Tar-DR-1,691,17966,0,30
2025-01-14,Tarlac,Blasting,BLAST,446,33450,0,36
2025-01-14,Tarlac,Extraction,Tar-EX-E1,399,0,1400,131
2025-01-14,Tarlac,Stockpiling,Tar-EX-S1,446,0,1400,59
2025-01-15,ZAMBALES,Loading,Zam-EX-L1,435,0,1400,117
2025-01-15,ZAMBALES,Loading,Zam-EX-L2,221,0,1400,102
2025-01-15,ZAMBALES,Drilling,Zam-DR-1,846,21996,0,34
2025-01-15,ZAMBALES,Extraction,Zam-EX-E1,449,0,1400,72
2025-01-15,ZAMBALES,Extraction,Zam-EX-E2,405,0,1400,128
2025-01-15,ZAMBALES,Stockpiling,Zam-EX-S1,656,0,1400,86
2025-01-15,Rizal,Loading,Riz-EX-L1,484,0,1400,112
2025-01-15,Rizal,Loading,Riz-EX-L2,470,0,1400,111
2025-01-15,Rizal,Drilling,Riz-DR-1,894,23244,0,50
2025-01-15,Rizal,Extraction,Riz-EX-E1,229,0,1400,100
2025-01-15,Rizal,Extraction,Riz-EX-E2,496,0,1400,77
2025-01-15,Rizal,Stockpiling,Riz-EX-S1,954,0,1400,90
2025-01-15,Bulacan,Loading,Bul-EX-L1,489,0,1400,108
2025-01-15,Bulacan,Drilling,Bul-DR-1,426,11076,0,58
2025-01-15,Bulacan,Extraction,Bul-EX-E1,336,0,1400,94
2025-01-15,Bulacan,Stockpiling,Bul-EX-S1,489,0,1400,69
2025-01-15,pAMPANGA,Loading,Pam-EX-L1,461,0,1400,95
2025-01-15,pAMPANGA,Drilling,Pam-DR-1,615,15990,0,43
2025-01-15,pAMPANGA,Blasting,BLAST,461,34575,0,41
2025-01-15,pAMPANGA,Extraction,Pam-EX-E1,275,0,1400,89
2025-01-15,pAMPANGA,Stockpiling,Pam-EX-S1,461,0,1400,62
2025-01-15,TARLAC,Loading,Tar-EX-L1,359,0,1400,78
