Date,Site,Equipment_ID,Trip_No,Distance_km,Load_m3,Fuel_Liters
2025-01-01,zambales,Zam-DT-5,3,1.61,20,6.16
2025-01-01,zambales,Zam-DT-5,4,2.7,20,7.83
2025-01-01,zambales,Zam-DT-5,5,3.33,20,14.49
2025-01-01,zambales,Zam-DT-5,6,4.42,20,19.15
2025-01-01,zambales,Zam-DT-5,7,5.21,20,18.25
2025-01-01,zambales,Zam-DT-5,8,4.04,11,11.87
2025-01-01,rIZAL,Riz-DT-1,1,3.06,22,11.17
2025-01-01,rIZAL,Riz-DT-1,2,3.51,22,9.26
2025-01-01,rIZAL,Riz-DT-1,3,1.59,22,4.69
2025-01-01,rIZAL,Riz-DT-1,4,6.17,22,18.89
2025-01-01,rIZAL,Riz-DT-1,5,1.75,22,4.63
2025-01-01,rIZAL,Riz-DT-2,1,2.96,22,11.88
2025-01-01,rIZAL,Riz-DT-2,2,3.46,22,13.88
2025-01-01,rIZAL,Riz-DT-2,3,2.62,22,11.09
2025-01-01,rIZAL,Riz-DT-2,4,6.84,22,27.44
2025-01-01,rIZAL,Riz-DT-2,5,6.68,22,19.15
2025-01-01,rIZAL,Riz-DT-3,1,6.92,22,17.86
2025-01-01,rIZAL,Riz-DT-3,2,3.37,22,12.46
2025-01-01,rIZAL,Riz-DT-3,3,1.9,22,5.41
2025-01-01,rIZAL,Riz-DT-3,4,1.89,22,4.78
2025-01-01,rIZAL,Riz-DT-3,5,1.01,22,2.61
2025-01-01,rIZAL,Riz-DT-4,1,3.55,22,15.72
2025-01-01,rIZAL,Riz-DT-4,2,2.1,22,8.38
2025-01-01,rIZAL,Riz-DT-4,3,3.04,22,11.56
2025-01-01,rIZAL,Riz-DT-4,4,4.85,22,14.29
2025-01-01,rIZAL,Riz-DT-4,5,5.5,22,18.74
2025-01-01,rIZAL,Riz-DT-5,1,2.05,22,6.17
2025-01-01,rIZAL,Riz-DT-5,2,5.35,22,17.56
2025-01-01,rIZAL,Riz-DT-5,3,3.32,20,13.18
2025-01-01,bULACAN,Bul-DT-1,1,1.36,22,3.75
2025-01-01,bULACAN,Bul-DT-1,2,4.11,22,17.54
2025-01-01,bULACAN,Bul-DT-1,3,1.98,22,7.83
2025-01-01,bULACAN,Bul-DT-1,4,2.31,22,9.63
2025-01-01,bULACAN,Bul-DT-1,5,1.6,22,5.17
2025-01-01,bULACAN,Bul-DT-2,1,4.53,22,15.59
2025-01-01,bULACAN,Bul-DT-2,2,3.2,22,14.21
2025-01-01,bULACAN,Bul-DT-2,3,4.19,22,13.85
2025-01-01,bULACAN,Bul-DT-2,4,1.25,22,3.82
2025-01-01,bULACAN,Bul-DT-2,5,5.0,22,12.69
2025-01-01,bULACAN,Bul-DT-3,1,2.25,22,5.73
2025-01-01,bULACAN,Bul-DT-3,2,1.32,22,4.44
2025-01-01,bULACAN,Bul-DT-3,3,2.72,22,8.09
2025-01-01,bULACAN,Bul-DT-3,4,5.36,22,15.59
2025-01-01,bULACAN,Bul-DT-3,5,2.2,22,8.54
2025-01-01,bULACAN,Bul-DT-4,1,2.5,22,6.96
2025-01-01,bULACAN,Bul-DT-4,2,1.79,22,7.86
2025-01-01,bULACAN,Bul-DT-4,3,2.29,22,8.84
2025-01-01,bULACAN,Bul-DT-4,4,3.84,22,14.01
2025-01-01,bULACAN,Bul-DT-4,5,3.5,22,9.68
2025-01-01,bULACAN,Bul-DT-5,1,2.98,22,8.31
2025-01-01,bULACAN,Bul-DT-5,2,6.02,22,20.02
2025-01-01,bULACAN,Bul-DT-5,3,1.18,22,4.96
2025-01-01,bULACAN,Bul-DT-5,4,2.38,22,10.26
2025-01-01,bULACAN,Bul-DT-5,5,2.87,1,9.86
2025-01-01,pampanga,Pam-DT-1,1,4.34,18,13.95
2025-01-01,pampanga,Pam-DT-1,2,1.06,18,3.19
2025-01-01,pampanga,Pam-DT-1,3,2.53,18,7.19
2025-01-01,pampanga,Pam-DT-1,4,3.07,18,8.92
2025-01-01,pampanga,Pam-DT-1,5,1.38,18,3.72
2025-01-01,pampanga,Pam-DT-2,1,3.98,18,10.5
2025-01-01,pampanga,Pam-DT-2,2,6.61,18,19.25
2025-01-01,pampanga,Pam-DT-2,3,3.79,18,12.62
2025-01-01,pampanga,Pam-DT-2,4,2.75,18,8.65
2025-01-01,pampanga,Pam-DT-2,5,2.27,18,6.95
2025-01-01,pampanga,Pam-DT-3,1,1.7,18,6.59
2025-01-01,pampanga,Pam-DT-3,2,4.87,18,15.21
2025-01-01,pampanga,Pam-DT-3,3,6.28,18,20.55
2025-01-01,pampanga,Pam-DT-3,4,4.67,18,16.56
2025-01-01,pampanga,Pam-DT-3,5,2.95,18,12.86
2025-01-01,pampanga,Pam-DT-4,1,6.09,18,25.47
2025-01-01,pampanga,Pam-DT-4,2,6.73,18,16.86
2025-01-01,pampanga,Pam-DT-4,3,3.95,18,17.28
2025-01-01,pampanga,Pam-DT-4,4,1.81,18,5.41
2025-01-01,pampanga,Pam-DT-4,5,4.03,18,15.54
2025-01-01,pampanga,Pam-DT-5,1,3.0,18,9.34
2025-01-01,pampanga,Pam-DT-5,2,5.65,18,14.5
2025-01-01,pampanga,Pam-DT-5,3,5.71,18,19.17
2025-01-01,pampanga,Pam-DT-5,4,4.77,18,18.66
2025-01-01,pampanga,Pam-DT-5,5,1.59,10,6.85
2025-01-01,tARLAC,Tar-DT-1,1,2.96,18,8.7
2025-01-01,tARLAC,Tar-DT-1,2,2.96,18,13.11
2025-01-01,tARLAC,Tar-DT-1,3,1.58,18,4.46
2025-01-01,tARLAC,Tar-DT-1,4,5.17,18,14.37
2025-01-01,tARLAC,Tar-DT-1,5,2.6,18,10.68
2025-01-01,tARLAC,Tar-DT-1,6,2.8,18,10.34
2025-01-01,tARLAC,Tar-DT-2,1,4.44,18,13.46
2025-01-01,tARLAC,Tar-DT-2,2,2.49,18,7.67
2025-01-01,tARLAC,Tar-DT-2,3,6.26,18,15.88
2025-01-01,tARLAC,Tar-DT-2,4,1.55,18,4.93
2025-01-01,tARLAC,Tar-DT-2,5,2.32,18,8.41
2025-01-01,tARLAC,Tar-DT-2,6,4.24,18,14.8
2025-01-01,tARLAC,Tar-DT-3,1,2.8,18,9.86
2025-01-01,tARLAC,Tar-DT-3,2,5.72,18,23.6
2025-01-01,tARLAC,Tar-DT-3,3,4.2,18,17.27
2025-01-01,tARLAC,Tar-DT-3,4,1.21,18,3.4
2025-01-01,tARLAC,Tar-DT-3,5,5.49,18,17.95
2025-01-01,tARLAC,Tar-DT-3,6,2.91,18,10.6
2025-01-01,tARLAC,Tar-DT-4,1,3.23,18,13.95
2025-01-01,tARLAC,Tar-DT-4,2,3.32,18,13.85
2025-01-01,tARLAC,Tar-DT-4,3,4.61,18,19.93
2025-01-01,tARLAC,Tar-DT-4,4,3.9,18,17.23
2025-01-01,tARLAC,Tar-DT-4,5,4.46,18,11.4
2025-01-01,tARLAC,Tar-DT-4,6,5.43,18,22.93
2025-01-01,tARLAC,Tar-DT-5,1,1.59,18,7.04
2025-01-01,tARLAC,Tar-DT-5,2,4.38,18,17.44
2025-01-01,tARLAC,Tar-DT-5,3,2.34,18,10.25
2025-01-01,tARLAC,Tar-DT-5,4,4.86,18,17.43
2025-01-01,tARLAC,Tar-DT-5,5,6.77,18,24.47
2025-01-01,tARLAC,Tar-DT-5,6,4.19,3,10.85
2025-01-02,zAMBALES,Zam-DT-1,1,2.15,20,5.9
2025-01-02,zAMBALES,Zam-DT-1,2,6.28,20,25.87
2025-01-02,zAMBALES,Zam-DT-1,3,2.46,20,8.73
2025-01-02,zAMBALES,Zam-DT-1,4,1.37,20,5.62
2025-01-02,zAMBALES,Zam-DT-1,5,1.94,20,8.5
2025-01-02,zAMBALES,Zam-DT-1,6,4.16,20,15.41
2025-01-02,zAMBALES,Zam-DT-1,7,4.93,20,16.84
2025-01-02,zAMBALES,Zam-DT-1,8,5.14,20,17.13
2025-01-02,zAMBALES,Zam-DT-1,9,5.94,20,26.19
2025-01-02,zAMBALES,Zam-DT-1,10,3.16,20,8.13
2025-01-02,zAMBALES,Zam-DT-1,11,4.88,20,15.86
2025-01-02,zAMBALES,Zam-DT-1,12,1.6,20,4.98
2025-01-02,zAMBALES,Zam-DT-2,1,2.74,20,11.28
2025-01-02,zAMBALES,Zam-DT-2,2,2.46,20,6.4
2025-01-02,zAMBALES,Zam-DT-2,3,3.27,20,14.25
2025-01-02,zAMBALES,Zam-DT-2,4,1.14,20,2.88
2025-01-02,zAMBALES,Zam-DT-2,5,1.75,20,5.4
2025-01-02,zAMBALES,Zam-DT-2,6,5.3,20,17.9
2025-01-02,zAMBALES,Zam-DT-2,7,1.8,20,4.6
2025-01-02,zAMBALES,Zam-DT-2,8,4.06,20,12.19
2025-01-02,zAMBALES,Zam-DT-2,9,5.98,20,18.74
2025-01-02,zAMBALES,Zam-DT-2,10,6.78,20,17.29
2025-01-02,zAMBALES,Zam-DT-2,11,2.57,20,9.67
2025-01-02,zAMBALES,Zam-DT-2,12,3.65,20,12.51
2025-01-02,zAMBALES,Zam-DT-3,1,4.02,20,16.52
2025-01-02,zAMBALES,Zam-DT-3,2,1.84,20,5.82
2025-01-02,zAMBALES,Zam-DT-3,3,5.24,20,16.68
2025-01-02,zAMBALES,Zam-DT-3,4,6.54,20,28.43
2025-01-02,zAMBALES,Zam-DT-3,5,4.98,20,20.28
2025-01-02,zAMBALES,Zam-DT-3,6,3.37,20,12.93
2025-01-02,zAMBALES,Zam-DT-3,7,1.17,20,4.71
2025-01-02,zAMBALES,Zam-DT-3,8,2.61,20,8.77
2025-01-02,zAMBALES,Zam-DT-3,9,4.25,20,13.94
2025-01-02,zAMBALES,Zam-DT-3,10,4.27,20,16.78
2025-01-02,zAMBALES,Zam-DT-3,11,5.31,20,23.47
2025-01-02,zAMBALES,Zam-DT-3,12,6.7,20,17.31
2025-01-02,zAMBALES,Zam-DT-4,1,3.23,20,9.78
2025-01-02,zAMBALES,Zam-DT-4,2,2.68,20,7.39
2025-01-02,zAMBALES,Zam-DT-4,3,4.54,20,12.78
2025-01-02,zAMBALES,Zam-DT-4,4,4.46,20,16.2
2025-01-02,zAMBALES,Zam-DT-4,5,2.94,20,12.21
2025-01-02,zAMBALES,Zam-DT-4,6,5.73,20,17.49
2025-01-02,zAMBALES,Zam-DT-4,7,1.42,20,4.36
2025-01-02,zAMBALES,Zam-DT-4,8,2.86,20,7.24
2025-01-02,zAMBALES,Zam-DT-4,9,2.33,20,6.03
2025-01-02,zAMBALES,Zam-DT-4,10,1.42,20,6.13
2025-01-02,zAMBALES,Zam-DT-4,11,3.87,20,10.61
2025-01-02,zAMBALES,Zam-DT-4,12,2.26,20,9.14
2025-01-02,zAMBALES,Zam-DT-5,1,4.31,20,15.42
2025-01-02,zAMBALES,Zam-DT-5,2,1.14,20,3.16
2025-01-02,zAMBALES,Zam-DT-5,3,2.91,20,9.22
2025-01-02,zAMBALES,Zam-DT-5,4,2.41,20,10.57
2025-01-02,zAMBALES,Zam-DT-5,5,5.74,20,19.27
2025-01-02,zAMBALES,Zam-DT-5,6,4.35,20,14.72
2025-01-02,zAMBALES,Zam-DT-5,7,6.48,20,19.83
2025-01-02,zAMBALES,Zam-DT-5,8,2.62,6,8.44
2025-01-02,Rizal,Riz-DT-1,1,4.75,22,16.11
2025-01-02,Rizal,Riz-DT-1,2,5.07,22,15.73
2025-01-02,Rizal,Riz-DT-1,3,2.93,22,13.17
2025-01-02,Rizal,Riz-DT-1,4,2.43,22,9.78
2025-01-02,Rizal,Riz-DT-1,5,5.2,22,19.74
2025-01-02,Rizal,Riz-DT-1,6,1.73,22,4.34
2025-01-02,Rizal,Riz-DT-1,7,5.47,22,14.58
2025-01-02,Rizal,Riz-DT-1,8,2.46,22,11.02
2025-01-02,Rizal,Riz-DT-1,9,6.8,22,29.53
2025-01-02,Rizal,Riz-DT-2,1,4.5,22,15.36
2025-01-02,Rizal,Riz-DT-2,2,3.77,22,11.99
2025-01-02,Rizal,Riz-DT-2,3,6.8,22,28.1
2025-01-02,Rizal,Riz-DT-2,4,6.95,22,21.56
2025-01-02,Rizal,Riz-DT-2,5,4.48,22,17.31
2025-01-02,Rizal,Riz-DT-2,6,3.3,22,12.11
2025-01-02,Rizal,Riz-DT-2,7,2.18,22,6.82
2025-01-02,Rizal,Riz-DT-2,8,1.81,22,6.85
2025-01-02,Rizal,Riz-DT-2,9,3.0,22,10.05
2025-01-02,Rizal,Riz-DT-3,1,3.28,22,8.55
2025-01-02,Rizal,Riz-DT-3,2,6.38,22,25.23
2025-01-02,Rizal,Riz-DT-3,3,2.94,22,12.63
2025-01-02,Rizal,Riz-DT-3,4,5.05,22,22.64
2025-01-02,Rizal,Riz-DT-3,5,3.78,22,10.28
2025-01-02,Rizal,Riz-DT-3,6,1.73,22,6.91
2025-01-02,Rizal,Riz-DT-3,7,4.47,22,13.11
2025-01-02,Rizal,Riz-DT-3,8,4.29,22,15.27
2025-01-02,Rizal,Riz-DT-3,9,6.15,22,16.03
2025-01-02,Rizal,Riz-DT-4,1,1.68,22,5.69
2025-01-02,Rizal,Riz-DT-4,2,1.84,22,8.24
2025-01-02,Rizal,Riz-DT-4,3,2.19,22,8.19
2025-01-02,Rizal,Riz-DT-4,4,3.66,22,14.87
2025-01-02,Rizal,Riz-DT-4,5,1.32,22,4.16
2025-01-02,Rizal,Riz-DT-4,6,3.82,22,10.42
2025-01-02,Rizal,Riz-DT-4,7,4.85,22,17.31
2025-01-02,Rizal,Riz-DT-4,8,5.96,22,20.17
2025-01-02,Rizal,Riz-DT-4,9,2.77,22,8.68
2025-01-02,Rizal,Riz-DT-5,1,2.41,22,10.52
2025-01-02,Rizal,Riz-DT-5,2,5.79,22,18.45
2025-01-02,Rizal,Riz-DT-5,3,3.7,22,10.0
2025-01-02,Rizal,Riz-DT-5,4,4.54,22,17.97
2025-01-02,Rizal,Riz-DT-5,5,2.37,22,8.02
2025-01-02,Rizal,Riz-DT-5,6,5.05,2,17.1
2025-01-02,Bulacan,Bul-DT-1,1,6.81,22,22.71
2025-01-02,Bulacan,Bul-DT-1,2,4.87,22,21.64
2025-01-02,Bulacan,Bul-DT-1,3,5.39,22,20.79
2025-01-02,Bulacan,Bul-DT-2,1,3.5,22,14.96
2025-01-02,Bulacan,Bul-DT-2,2,3.32,22,13.84
2025-01-02,Bulacan,Bul-DT-2,3,6.94,22,28.26
2025-01-02,Bulacan,Bul-DT-3,1,1.19,22,3.9
2025-01-02,Bulacan,Bul-DT-3,2,4.01,22,17.23
2025-01-02,Bulacan,Bul-DT-3,3,1.36,22,4.72
2025-01-02,Bulacan,Bul-DT-4,1,4.92,22,20.54
2025-01-02,Bulacan,Bul-DT-4,2,3.55,22,11.76
2025-01-02,Bulacan,Bul-DT-4,3,2.37,22,8.12
2025-01-02,Bulacan,Bul-DT-5,1,6.15,22,24.21
2025-01-02,Bulacan,Bul-DT-5,2,5.48,22,19.19
2025-01-02,pampanga,Pam-DT-1,1,3.5,18,10.02
2025-01-02,pampanga,Pam-DT-1,2,4.63,18,12.62
2025-01-02,pampanga,Pam-DT-1,3,1.57,18,3.96
2025-01-02,pampanga,Pam-DT-1,4,2.24,18,7.75
2025-01-02,pampanga,Pam-DT-1,5,1.97,18,5.2
2025-01-02,pampanga,Pam-DT-1,6,3.96,18,17.05
2025-01-02,pampanga,Pam-DT-2,1,1.07,18,3.16
2025-01-02,pampanga,Pam-DT-2,2,6.41,18,24.16
2025-01-02,pampanga,Pam-DT-2,3,5.98,18,25.83
2025-01-02,pampanga,Pam-DT-2,4,2.31,18,9.19
2025-01-02,pampanga,Pam-DT-2,5,2.57,18,11.25
2025-01-02,pampanga,Pam-DT-2,6,6.74,18,19.01
2025-01-02,pampanga,Pam-DT-3,1,5.87,18,15.23
2025-01-02,pampanga,Pam-DT-3,2,4.6,18,15.93
2025-01-02,pampanga,Pam-DT-3,3,4.6,18,18.49
2025-01-02,pampanga,Pam-DT-3,4,6.22,18,21.81
2025-01-02,pampanga,Pam-DT-3,5,1.44,18,6.23
2025-01-02,pampanga,Pam-DT-3,6,1.36,18,5.56
2025-01-02,pampanga,Pam-DT-4,1,1.73,18,7.45
2025-01-02,pampanga,Pam-DT-4,2,4.81,18,15.01
2025-01-02,pampanga,Pam-DT-4,3,6.19,18,17.71
2025-01-02,pampanga,Pam-DT-4,4,2.29,18,7.22
2025-01-02,pampanga,Pam-DT-4,5,3.48,18,10.22
2025-01-02,pampanga,Pam-DT-4,6,6.52,18,22.04
2025-01-02,pampanga,Pam-DT-5,1,6.71,18,20.17
2025-01-02,pampanga,Pam-DT-5,2,3.81,18,15.63
2025-01-02,pampanga,Pam-DT-5,3,6.94,18,23.59
2025-01-02,pampanga,Pam-DT-5,4,3.82,18,16.74
2025-01-02,pampanga,Pam-DT-5,5,3.59,18,12.14
2025-01-02,pampanga,Pam-DT-5,6,6.72,16,23.48
2025-01-02,Tarlac,Tar-DT-1,1,6.69,18,17.9
2025-01-02,Tarlac,Tar-DT-1,2,1.45,18,6.36
2025-01-02,Tarlac,Tar-DT-1,3,3.87,18,11.07
2025-01-02,Tarlac,Tar-DT-1,4,6.89,18,21.84
2025-01-02,Tarlac,Tar-DT-2,1,6.65,18,22.74
2025-01-02,Tarlac,Tar-DT-2,2,3.21,18,11.71
2025-01-02,Tarlac,Tar-DT-2,3,6.46,18,28.81
2025-01-02,Tarlac,Tar-DT-2,4,5.17,18,16.73
2025-01-02,Tarlac,Tar-DT-3,1,6.18,18,26.87
2025-01-02,Tarlac,Tar-DT-3,2,4.26,18,16.71
2025-01-02,Tarlac,Tar-DT-3,3,6.23,18,24.1
2025-01-02,Tarlac,Tar-DT-3,4,4.9,18,15.98
2025-01-02,Tarlac,Tar-DT-4,1,4.6,18,13.74
2025-01-02,Tarlac,Tar-DT-4,2,1.72,18,5.19
2025-01-02,Tarlac,Tar-DT-4,3,3.68,18,11.74
2025-01-02,Tarlac,Tar-DT-4,4,5.21,2,17.01
2025-01-03,Zambales,Zam-DT-1,1,2.44,20,8.37
2025-01-03,Zambales,Zam-DT-1,2,3.64,20,12.96
2025-01-03,Zambales,Zam-DT-1,3,5.13,20,17.07
2025-01-03,Zambales,Zam-DT-1,4,6.03,20,23.65
2025-01-03,Zambales,Zam-DT-1,5,1.69,20,4.99
2025-01-03,Zambales,Zam-DT-1,6,5.33,20,16.15
2025-01-03,Zambales,Zam-DT-1,7,2.74,20,9.05
2025-01-03,Zambales,Zam-DT-1,8,2.38,20,10.69
2025-01-03,Zambales,Zam-DT-1,9,4.48,20,16.06
2025-01-03,Zambales,Zam-DT-1,10,3.47,20,9.51
2025-01-03,Zambales,Zam-DT-2,1,6.16,20,20.25
2025-01-03,Zambales,Zam-DT-2,2,2.77,20,10.89
2025-01-03,Zambales,Zam-DT-2,3,2.49,20,6.92
2025-01-03,Zambales,Zam-DT-2,4,6.54,20,27.7
2025-01-03,Zambales,Zam-DT-2,5,6.93,20,26.86
2025-01-03,Zambales,Zam-DT-2,6,2.87,20,10.75
2025-01-03,Zambales,Zam-DT-2,7,2.91,20,11.58
2025-01-03,Zambales,Zam-DT-2,8,4.42,20,14.62
2025-01-03,Zambales,Zam-DT-2,9,5.43,20,22.12
2025-01-03,Zambales,Zam-DT-2,10,3.73,20,16.62
2025-01-03,Zambales,Zam-DT-3,1,5.93,20,25.45
2025-01-03,Zambales,Zam-DT-3,2,1.86,20,7.59
2025-01-03,Zambales,Zam-DT-3,3,1.3,20,5.58
2025-01-03,Zambales,Zam-DT-3,4,3.54,20,13.0
2025-01-03,Zambales,Zam-DT-3,5,3.0,20,9.86
2025-01-03,Zambales,Zam-DT-3,6,4.26,20,11.58
2025-01-03,Zambales,Zam-DT-3,7,5.64,20,15.43
2025-01-03,Zambales,Zam-DT-3,8,4.9,20,15.41
2025-01-03,Zambales,Zam-DT-3,9,3.21,20,11.05
2025-01-03,Zambales,Zam-DT-3,10,1.09,20,3.04
2025-01-03,Zambales,Zam-DT-4,1,2.18,20,7.64
2025-01-03,Zambales,Zam-DT-4,2,2.79,20,8.41
2025-01-03,Zambales,Zam-DT-4,3,6.0,20,16.19
2025-01-03,Zambales,Zam-DT-4,4,6.01,20,18.02
2025-01-03,Zambales,Zam-DT-4,5,2.12,20,7.34
2025-01-03,Zambales,Zam-DT-4,6,1.39,20,5.49
2025-01-03,Zambales,Zam-DT-4,7,5.55,20,17.32
2025-01-03,Zambales,Zam-DT-4,8,5.23,20,18.88
2025-01-03,Zambales,Zam-DT-4,9,3.2,20,10.09
2025-01-03,Zambales,Zam-DT-4,10,6.39,20,25.58
2025-01-03,Zambales,Zam-DT-5,1,5.98,20,26.75
2025-01-03,Zambales,Zam-DT-5,2,3.92,20,12.16
2025-01-03,Zambales,Zam-DT-5,3,5.39,20,16.31
2025-01-03,Zambales,Zam-DT-5,4,1.75,20,7.82
2025-01-03,Zambales,Zam-DT-5,5,3.23,20,11.51
2025-01-03,Zambales,Zam-DT-5,6,2.53,20,10.25
2025-01-03,Zambales,Zam-DT-5,7,1.14,12,2.95
2025-01-03,Rizal,Riz-DT-1,1,3.8,22,12.65
2025-01-03,Rizal,Riz-DT-1,2,6.91,22,26.37
2025-01-03,Rizal,Riz-DT-1,3,5.39,22,20.56
2025-01-03,Rizal,Riz-DT-1,4,4.87,22,14.35
2025-01-03,Rizal,Riz-DT-1,5,2.0,22,8.01
2025-01-03,Rizal,Riz-DT-1,6,1.16,22,3.64
2025-01-03,Rizal,Riz-DT-1,7,3.0,22,8.78
2025-01-03,Rizal,Riz-DT-1,8,6.11,22,24.55
2025-01-03,Rizal,Riz-DT-2,1,3.26,22,12.01
2025-01-03,Rizal,Riz-DT-2,2,2.66,22,11.55
2025-01-03,Rizal,Riz-DT-2,3,3.5,22,9.39
2025-01-03,Rizal,Riz-DT-2,4,4.94,22,14.97
2025-01-03,Rizal,Riz-DT-2,5,2.34,22,8.74
2025-01-03,Rizal,Riz-DT-2,6,4.39,22,15.12
2025-01-03,Rizal,Riz-DT-2,7,4.76,22,14.84
2025-01-03,Rizal,Riz-DT-2,8,3.24,22,13.19
2025-01-03,Rizal,Riz-DT-3,1,6.22,22,21.2
2025-01-03,Rizal,Riz-DT-3,2,6.11,22,20.98
2025-01-03,Rizal,Riz-DT-3,3,4.78,22,18.04
2025-01-03,Rizal,Riz-DT-3,4,4.63,22,14.35
2025-01-03,Rizal,Riz-DT-3,5,6.44,22,21.01
2025-01-03,Rizal,Riz-DT-3,6,6.08,22,21.72
2025-01-03,Rizal,Riz-DT-3,7,4.6,22,19.35
2025-01-03,Rizal,Riz-DT-3,8,6.08,22,23.43
2025-01-03,Rizal,Riz-DT-4,1,1.09,22,3.72
2025-01-03,Rizal,Riz-DT-4,2,4.63,22,13.46
2025-01-03,Rizal,Riz-DT-4,3,4.75,22,21.36
2025-01-03,Rizal,Riz-DT-4,4,1.48,22,4.99
2025-01-03,Rizal,Riz-DT-4,5,5.15,22,15.72
2025-01-03,Rizal,Riz-DT-4,6,2.46,22,7.06
2025-01-03,Rizal,Riz-DT-4,7,2.08,22,7.61
2025-01-03,Rizal,Riz-DT-4,8,6.62,22,27.11
2025-01-03,Rizal,Riz-DT-5,1,3.18,22,7.95
2025-01-03,Rizal,Riz-DT-5,2,3.0,22,11.1
2025-01-03,Rizal,Riz-DT-5,3,1.93,22,7.19
2025-01-03,Rizal,Riz-DT-5,4,1.48,22,4.28
2025-01-03,Rizal,Riz-DT-5,5,1.43,22,4.64
2025-01-03,Rizal,Riz-DT-5,6,3.71,10,9.54
2025-01-03,bulacan,Bul-DT-1,1,5.58,22,19.41
2025-01-03,bulacan,Bul-DT-1,2,3.33,22,14.87
2025-01-03,bulacan,Bul-DT-1,3,2.23,22,9.96
2025-01-03,bulacan,Bul-DT-2,1,5.92,22,17.69
2025-01-03,bulacan,Bul-DT-2,2,6.23,22,16.9
2025-01-03,bulacan,Bul-DT-2,3,2.83,22,11.51
2025-01-03,bulacan,Bul-DT-3,1,2.03,22,7.51
2025-01-03,bulacan,Bul-DT-3,2,4.99,22,19.97
2025-01-03,bulacan,Bul-DT-3,3,4.13,22,11.98
2025-01-03,bulacan,Bul-DT-4,1,1.77,22,5.88
2025-01-03,bulacan,Bul-DT-4,2,3.04,22,11.83
2025-01-03,bulacan,Bul-DT-4,3,6.0,22,15.78
2025-01-03,bulacan,Bul-DT-5,1,3.73,15,14.23
2025-01-03,PAMPANGA,Pam-DT-1,1,3.6,18,13.08
2025-01-03,PAMPANGA,Pam-DT-1,2,2.31,18,8.92
2025-01-03,PAMPANGA,Pam-DT-1,3,5.18,18,16.4
2025-01-03,PAMPANGA,Pam-DT-1,4,6.71,18,21.38
2025-01-03,PAMPANGA,Pam-DT-1,5,4.43,18,14.15
2025-01-03,PAMPANGA,Pam-DT-1,6,3.71,18,12.0
2025-01-03,PAMPANGA,Pam-DT-1,7,6.88,18,25.13
2025-01-03,PAMPANGA,Pam-DT-2,1,6.93,18,23.55
2025-01-03,PAMPANGA,Pam-DT-2,2,3.44,18,9.05
2025-01-03,PAMPANGA,Pam-DT-2,3,3.42,18,12.92
2025-01-03,PAMPANGA,Pam-DT-2,4,6.59,18,17.97
2025-01-03,PAMPANGA,Pam-DT-2,5,1.62,18,5.57
2025-01-03,PAMPANGA,Pam-DT-2,6,6.14,18,17.67
2025-01-03,PAMPANGA,Pam-DT-2,7,5.17,18,15.73
2025-01-03,PAMPANGA,Pam-DT-3,1,6.18,18,22.8
